name,La Galerie des Carrosses,Le Campus de Versailles,L'Académie Équestre de Versailles,Les Jardins à la Française du Trianon,Le Hameau de la Reine,Le Jardin Anglais,Le Petit Trianon,Le Grand Trianon,Le Théâtre de la Reine,Le Jardin Français du Petit Trianon,L'Appartement intérieur du Roi,La Galerie des Glaces,L'Appartement du Roi,Le Grand Appartement du Roi,L'Opéra Royal,La Chapelle Royale,Le Grand Appartement de la Reine,La Galerie des Batailles,L'Appartement de Madame de Pompadour,L'Appartement de la Dauphine,Les Appartements des Filles de Louis XV,Les Galeries Historiques,La Salle du Congrès,Les Salles des Croisades,Les Cabinets intérieurs de Marie-Antoinette,La Salle du Sacre,Les Salles de l'Empire,"Les Salles d'Afrique, de Crimée et d'Italie",La Salle de 1792,La Galerie de l'Histoire du Château,Les Salles de Louis XIV,L'Appartement du Dauphin,L'Appartement de Madame du Barry,Le Grand Commun,L'Attique Chimay,L'Orangerie,La Galerie des Sculptures et des Moulages,Le Grand Canal,La Pièce d'Eau des Suisses,Le Rû Gally,La Salle du Jeu de Paume,Le Bassin de Flore (Printemps),Le Bassin de Cérès (Été),Le Bassin de Bacchus (Automne),Le Bassin de Saturne (Hiver),Le Cabinet de Diane (Soir),Le Cabinet du Point du Jour,Le Bassin du Dragon,Le Bassin de Neptune,Le Bassin de Latone,Le Bassin d'Apollon,Le Bassin du Miroir,Le Bain des Nymphes,Le Bassin de la Pyramide,Le Bassin des Enfants Dorés,Le Bosquet de la Reine,Le Bosquet de la Salle de Bal,Le Bosquet de la Girandole,Le Bosquet de la Montagne d'Eau,Le Bosquet du Dauphin,Le Bosquet du Théâtre d'Eau,Le Bosquet des Trois Fontaines,Le Bosquet de l'Arc de Triomphe,Le Bosquet de la Colonnade,Le Bosquet du Marronnier,Le Bosquet du Dôme,Le Bosquet d'Encelade,Le Bosquet des Obélisques,Le Bosquet des Bains d'Apollon,Le Parterre d'Eau,Le Parterre Nord,Le Parterre du Midi,Le Parterre de Latone,L'Allée d'Eau des Marmousets,L'Allée Royale du Tapis Vert,Le Jardin du Roi,La Statue de Louis XIV,Visite guidée - Au service de sa majesté,Visite guidée - Royal cauchemar,Visite guidée - Versailles fake news,Visite guidée - Marie-Antoinette en privé,Visite guidée - Le Grand Trianon : château de campagne,Visite guidée - Les fantômes de Trianon,Visite guidée - Les effets scéniques au théâtre de la Reine,Visite guidée - Du château des rois au palais de la République,Visite guidée - Le Petit Trianon de Marie-Antoinette,Visite guidée - Louis-Philippe en famille à Trianon,Visite guidée - Chez les favorites du Roi,Visite guidée - Le Hameau de Marie-Antoinette à Marie-Louise,Visite guidée - Appartements privés des Rois,Visite guidée - Un président chez le roi,Visite guidée - Lieux cachés
La Galerie des Carrosses,0.0,2.0335439814300833,0.7096343375165777,25.44420207928385,24.99764043624868,23.66015832939889,23.068106115390034,25.44420207928385,24.357108082497362,2.0335439814300833,4.414676330258279,7.206619538857389,2.0335439814300833,2.0335439814300833,7.231536001715672,5.767859217308589,2.0335439814300833,6.630970667261453,2.0335439814300833,6.329898011296262,2.0335439814300833,2.0335439814300833,6.236327712500829,2.0335439814300833,2.0335439814300833,2.0335439814300833,6.393901240859677,2.0335439814300833,2.0335439814300833,2.0335439814300833,2.0335439814300833,6.329898011296262,2.0335439814300833,5.700898332522374,2.0335439814300833,6.705261668514836,1.8935908261269048,27.454311809710198,12.197946384106874,2.0335439814300833,5.110376698778893,13.477107184031698,11.06666473621712,11.429213742622517,13.753985351383374,2.0335439814300833,2.0335439814300833,8.341869619791497,7.083635191097322,9.623044919379137,16.09939345933741,13.656445777497133,2.0335439814300833,7.478435660544706,10.949498392439647,10.813688112941957,10.191571856611965,12.240048660933372,2.0335439814300833,12.10397713915696,10.171679919835992,8.500312740390218,7.274695620682339,14.308614033671335,2.0335439814300833,2.0335439814300833,15.539560558255026,2.0335439814300833,9.855574625162646,8.197695017596395,7.376881583544342,7.76223931760817,2.0335439814300833,2.0335439814300833,13.176627419939571,26.950297721803892,1.9075189746429682,2.0335439814300833,8.965660350190237,2.0335439814300833,24.917501766199376,2.0335439814300833,25.44420207928385,24.357108082497362,2.0335439814300833,23.068106115390034,2.0335439814300833,2.0335439814300833,2.0335439814300833,2.0335439814300833,2.0335439814300833,2.0335439814300833
Le Campus de Versailles,2.0335439814300833,0.0,2.5255176547903777,27.442142840017205,26.996958703540283,25.692585495956358,25.10063321984657,27.442142840017205,26.387164033496372,0.0,6.075546842956161,9.004499110599472,0.0,0.0,8.190113650395242,7.667546286704924,0.0,8.15387992670576,0.0,8.173853952562025,0.0,0.0,7.744316200988057,0.0,0.0,0.0,7.90796260566586,0.0,0.0,0.0,0.0,8.173853952562025,0.0,7.195723987566462,0.0,7.166135889072924,2.2331179837464443,29.26498121605067,12.697503826621649,0.0,5.577777447213528,15.418665428457714,13.023380068051248,13.0277575340872,15.400156376330944,0.0,0.0,10.373153328888911,9.02323892596174,11.428866830771618,17.92206661787709,15.200939932256954,0.0,9.468655815020586,12.953339558409015,12.241312234602997,11.823561879631685,13.991097906329134,0.0,13.980475046430396,12.183452966917867,10.521621747670551,9.306891397631333,16.066488867270586,0.0,0.0,17.433394255521495,0.0,11.793682197690739,9.998567312135329,9.324152358644971,9.343110029153166,0.0,0.0,14.993174748318511,28.952933664145135,3.580059009543815,0.0,7.921151148111681,0.0,26.951045084414414,0.0,27.442142840017205,26.387164033496372,0.0,25.10063321984657,0.0,0.0,0.0,0.0,0.0,0.0
L'Académie Équestre de Versailles,0.7096343375165777,2.5255176547903777,0.0,25.142283961778837,24.47484447429746,23.219734961052293,22.666774739527057,25.142283961778837,23.972037244336583,2.5255176547903777,3.7196483447562296,7.171813453605179,2.5255176547903777,2.5255176547903777,7.628510049235597,5.653076917240918,2.5255176547903777,6.7899492529331145,2.5255176547903777,6.264592873446561,2.5255176547903777,2.5255176547903777,6.409854288090566,2.5255176547903777,2.5255176547903777,2.5255176547903777,6.561480169217623,2.5255176547903777,2.5255176547903777,2.5255176547903777,2.5255176547903777,6.264592873446561,2.5255176547903777,5.891403555659052,2.5255176547903777,7.249652741930485,2.582481222771493,27.351868987217458,12.695194309436031,2.5255176547903777,5.676400659104503,13.268784156520649,10.845835934691184,11.502574434827231,13.78845742563569,2.5255176547903777,2.5255176547903777,7.903705905211343,6.500974971350513,9.56228161436452,16.001583695438317,13.751441889452206,2.5255176547903777,7.2224059478184195,10.653090973787371,10.984007660968409,10.251411839598076,12.209114476207196,2.5255176547903777,11.969140585485162,9.859916249994775,8.167959810011588,6.895437212394839,14.265640262496,2.5255176547903777,2.5255176547903777,15.378789742221063,2.5255176547903777,9.66316344584509,8.151079411827592,7.1873110242639004,7.873270983849155,2.5255176547903777,2.5255176547903777,13.091466836292849,26.639107995529336,2.1733362007990524,2.5255176547903777,9.675278979024103,2.5255176547903777,24.49589793073475,2.5255176547903777,25.142283961778837,23.972037244336583,2.5255176547903777,22.666774739527057,2.5255176547903777,2.5255176547903777,2.5255176547903777,2.5255176547903777,2.5255176547903777,2.5255176547903777
Les Jardins à la Française du Trianon,25.44420207928385,27.442142840017205,25.142283961778837,0.0,9.67795134561138,5.889099274816306,4.578420138828106,0.0,3.4998063760952958,27.442142840017205,23.08707526822588,18.85003723834418,27.442142840017205,27.442142840017205,22.419303452675187,19.869454232876183,27.442142840017205,20.444183569871534,27.442142840017205,19.49678170036396,27.442142840017205,27.442142840017205,20.79841023845359,27.442142840017205,27.442142840017205,27.442142840017205,20.656973241518983,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,19.49678170036396,27.442142840017205,21.248791299635705,27.442142840017205,24.471655946357963,25.828823416156517,8.010738565218231,23.99764330616742,27.442142840017205,24.75257230337592,12.202511359742545,14.485107665299644,16.57427262743079,14.633399646097894,27.442142840017205,27.442142840017205,17.475795119601756,19.70968701298497,16.633311804460956,11.045471052104853,15.663832571846575,27.442142840017205,17.97355528334674,14.495386225241965,18.18109948618668,17.222257439243716,14.787677005187016,27.442142840017205,13.945477578620125,15.28249490512049,16.977434179104424,18.288916076919705,13.13110708612378,27.442142840017205,27.442142840017205,10.680241678190995,27.442142840017205,15.751320207004945,17.937647598635284,18.1616436624423,19.33591820294417,27.442142840017205,27.442142840017205,13.470349253576092,1.5482090427586745,23.976415723444404,27.442142840017205,30.40186065763265,27.442142840017205,4.943984187229572,27.442142840017205,0.0,3.4998063760952958,27.442142840017205,4.578420138828106,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205
Le Hameau de la Reine,24.99764043624868,26.996958703540283,24.47484447429746,9.67795134561138,0.0,4.030033279460042,5.704195800251979,9.67795134561138,6.234484304492305,26.996958703540283,21.349945415148092,20.264082459151506,26.996958703540283,26.996958703540283,24.751899577644217,20.555039182611246,26.996958703540283,22.20522632455061,26.996958703540283,20.513802334106053,26.996958703540283,26.996958703540283,22.433823477601212,26.996958703540283,26.996958703540283,26.996958703540283,22.34240183678926,26.996958703540283,26.996958703540283,26.996958703540283,26.996958703540283,20.513802334106053,26.996958703540283,22.706813043810392,26.996958703540283,26.571076458145313,26.04360981208373,17.64902840166325,28.064772348968738,26.996958703540283,26.25033696997147,14.832166662583784,16.1051765913367,20.12632549434085,19.125204564195002,26.996958703540283,26.996958703540283,16.775110930184145,18.0315902896381,18.822916904264797,16.03280809661637,20.3036681926191,26.996958703540283,18.44022459801338,15.357508419630635,21.727974148242346,20.17684087154068,18.258225747680243,26.996958703540283,16.676539036581854,15.839375665874918,17.1123349615796,17.996228492072873,17.532941325188776,26.996958703540283,26.996958703540283,14.815765939215389,26.996958703540283,17.218943022991397,19.656074595793775,18.957282327725736,21.43319125435383,26.996958703540283,26.996958703540283,17.051524137957344,9.797090127615624,24.112584711695682,26.996958703540283,32.19188735119245,26.996958703540283,4.739862094064144,26.996958703540283,9.67795134561138,6.234484304492305,26.996958703540283,5.704195800251979,26.996958703540283,26.996958703540283,26.996958703540283,26.996958703540283,26.996958703540283,26.996958703540283
Le Jardin Anglais,23.66015832939889,25.692585495956358,23.219734961052293,5.889099274816306,4.030033279460042,0.0,1.684767969239119,5.889099274816306,2.39562276086836,25.692585495956358,20.492258829813082,18.08475451750533,25.692585495956358,25.692585495956358,22.345102141886453,18.661350055815205,25.692585495956358,19.949214156359425,25.692585495956358,18.491088756262286,25.692585495956358,25.692585495956358,20.22900921599618,25.692585495956358,25.692585495956358,25.692585495956358,20.11715896468145,25.692585495956358,25.692585495956358,25.692585495956358,25.692585495956358,18.491088756262286,25.692585495956358,20.573672656975152,25.692585495956358,24.278189447212114,24.4555587327871,13.730004798514447,25.133942871035728,25.692585495956358,24.171435009914145,12.006661741185393,13.69620576528044,17.21106221452697,15.90446164669089,25.692585495956358,25.692585495956358,15.32038678825587,17.05504644720641,16.31909803687627,12.58294402920163,17.07117043037312,25.692585495956358,16.566332245179222,13.196268178806028,18.853740821025703,17.454664100452973,15.312538674561065,25.692585495956358,13.90760085084134,13.822248528228414,15.321514994426686,16.415542200368115,14.289468907042377,25.692585495956358,25.692585495956358,11.534591680867614,25.692585495956358,14.915014612457561,17.346844438720424,16.972052244574996,19.03765469355225,25.692585495956358,25.692585495956358,14.028696506887645,6.351039574044609,22.520470512641403,25.692585495956358,30.085257101171774,25.692585495956358,1.5001099002662213,25.692585495956358,5.889099274816306,2.39562276086836,25.692585495956358,1.684767969239119,25.692585495956358,25.692585495956358,25.692585495956358,25.692585495956358,25.692585495956358,25.692585495956358
Le Petit Trianon,23.068106115390034,25.10063321984657,22.666774739527057,4.578420138828106,5.704195800251979,1.684767969239119,0.0,4.578420138828106,1.4496534972785977,25.10063321984657,20.136913712688255,17.169651225190297,25.10063321984657,25.10063321984657,21.294519228150282,17.869351558398968,25.10063321984657,18.98235901530291,25.10063321984657,17.64273556969952,25.10063321984657,25.10063321984657,19.28278769841347,25.10063321984657,25.10063321984657,25.10063321984657,19.162711234467633,25.10063321984657,25.10063321984657,25.10063321984657,25.10063321984657,17.64273556969952,25.10063321984657,19.656644243495677,25.10063321984657,23.266557342632787,23.749280682948886,12.196614423246828,23.843417922966488,25.10063321984657,23.2535813331143,10.865549843215097,12.731636830141253,15.96671211678337,14.528557138920867,25.10063321984657,25.10063321984657,14.773976717846441,16.692937072052114,15.273608190997393,11.122409075740105,15.682936260474051,25.10063321984657,15.808866677214809,12.360579805124015,17.616725954570946,16.297106397860713,14.069932136450337,25.10063321984657,12.7654281763004,13.043044824218367,14.621166813318924,15.793767844736358,12.914559296801233,25.10063321984657,25.10063321984657,10.168453425140427,25.10063321984657,13.981368337678006,16.380155046642155,16.158272684587637,18.015582231862513,25.10063321984657,25.10063321984657,12.762064609461227,5.354193015880849,21.826494437647966,25.10063321984657,29.127972501160563,25.10063321984657,2.0194160765758875,25.10063321984657,4.578420138828106,1.4496534972785977,25.10063321984657,0.0,25.10063321984657,25.10063321984657,25.10063321984657,25.10063321984657,25.10063321984657,25.10063321984657
Le Grand Trianon,25.44420207928385,27.442142840017205,25.142283961778837,0.0,9.67795134561138,5.889099274816306,4.578420138828106,0.0,3.4998063760952958,27.442142840017205,23.08707526822588,18.85003723834418,27.442142840017205,27.442142840017205,22.419303452675187,19.869454232876183,27.442142840017205,20.444183569871534,27.442142840017205,19.49678170036396,27.442142840017205,27.442142840017205,20.79841023845359,27.442142840017205,27.442142840017205,27.442142840017205,20.656973241518983,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,19.49678170036396,27.442142840017205,21.248791299635705,27.442142840017205,24.471655946357963,25.828823416156517,8.010738565218231,23.99764330616742,27.442142840017205,24.75257230337592,12.202511359742545,14.485107665299644,16.57427262743079,14.633399646097894,27.442142840017205,27.442142840017205,17.475795119601756,19.70968701298497,16.633311804460956,11.045471052104853,15.663832571846575,27.442142840017205,17.97355528334674,14.495386225241965,18.18109948618668,17.222257439243716,14.787677005187016,27.442142840017205,13.945477578620125,15.28249490512049,16.977434179104424,18.288916076919705,13.13110708612378,27.442142840017205,27.442142840017205,10.680241678190995,27.442142840017205,15.751320207004945,17.937647598635284,18.1616436624423,19.33591820294417,27.442142840017205,27.442142840017205,13.470349253576092,1.5482090427586745,23.976415723444404,27.442142840017205,30.40186065763265,27.442142840017205,4.943984187229572,27.442142840017205,0.0,3.4998063760952958,27.442142840017205,4.578420138828106,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205,27.442142840017205
Le Théâtre de la Reine,24.357108082497362,26.387164033496372,23.972037244336583,3.4998063760952958,6.234484304492305,2.39562276086836,1.4496534972785977,3.4998063760952958,0.0,26.387164033496372,21.510763837993114,18.304125845248453,26.387164033496372,26.387164033496372,22.321686392535682,19.073651477251158,26.387164033496372,20.07700275801068,26.387164033496372,18.816220832553956,26.387164033496372,26.387164033496372,20.390557765782255,26.387164033496372,26.387164033496372,26.387164033496372,20.265289797241532,26.387164033496372,26.387164033496372,26.387164033496372,26.387164033496372,18.816220832553956,26.387164033496372,20.78254769451118,26.387164033496372,24.318757791574356,24.985749212236648,11.416397918628164,24.63967187555425,26.387164033496372,24.370923687460987,11.869574473344144,13.853960154589338,16.83959925924257,15.256627359613876,26.387164033496372,26.387164033496372,16.096746573384646,18.06964687621132,16.32526229460168,11.755504322917687,16.387833874069695,26.387164033496372,17.037328887076548,13.56266469531598,18.4897647966336,17.25182611138571,14.955071402126908,26.387164033496372,13.753346572320396,14.271404949967733,15.881205790725843,17.08444190525862,13.655166813254391,26.387164033496372,26.387164033496372,10.946884927115656,26.387164033496372,15.116981018796963,17.483588297152643,17.355948109650043,19.07390382236297,26.387164033496372,26.387164033496372,13.63114868677784,4.0213492479030135,23.071943493205673,26.387164033496372,30.209553932622875,26.387164033496372,1.6224372726933083,26.387164033496372,3.4998063760952958,0.0,26.387164033496372,1.4496534972785977,26.387164033496372,26.387164033496372,26.387164033496372,26.387164033496372,26.387164033496372,26.387164033496372
Le Jardin Français du Petit Trianon,2.0335439814300833,0.0,2.5255176547903777,27.442142840017205,26.996958703540283,25.692585495956358,25.10063321984657,27.442142840017205,26.387164033496372,0.0,6.075546842956161,9.004499110599472,0.0,0.0,8.190113650395242,7.667546286704924,0.0,8.15387992670576,0.0,8.173853952562025,0.0,0.0,7.744316200988057,0.0,0.0,0.0,7.90796260566586,0.0,0.0,0.0,0.0,8.173853952562025,0.0,7.195723987566462,0.0,7.166135889072924,2.2331179837464443,29.26498121605067,12.697503826621649,0.0,5.577777447213528,15.418665428457714,13.023380068051248,13.0277575340872,15.400156376330944,0.0,0.0,10.373153328888911,9.02323892596174,11.428866830771618,17.92206661787709,15.200939932256954,0.0,9.468655815020586,12.953339558409015,12.241312234602997,11.823561879631685,13.991097906329134,0.0,13.980475046430396,12.183452966917867,10.521621747670551,9.306891397631333,16.066488867270586,0.0,0.0,17.433394255521495,0.0,11.793682197690739,9.998567312135329,9.324152358644971,9.343110029153166,0.0,0.0,14.993174748318511,28.952933664145135,3.580059009543815,0.0,7.921151148111681,0.0,26.951045084414414,0.0,27.442142840017205,26.387164033496372,0.0,25.10063321984657,0.0,0.0,0.0,0.0,0.0,0.0
