from,to,travel_time
La Galerie des Carrosses,Le Campus de Versailles,122.01263888580502
La Galerie des Carrosses,L'Académie Équestre de Versailles,42.57806025099466
La Galerie des Carrosses,Les Jardins à la Française du Trianon,1526.652124757031
La Galerie des Carrosses,Le Hameau de la Reine,1499.8584261749209
La Galerie des Carrosses,Le Petit Trianon,1384.0863669234022
La Galerie des Carrosses,Le Grand Trianon,1526.652124757031
La Galerie des Carrosses,Le Théâtre de la Reine,1461.4264849498416
La Galerie des Carrosses,Le Jardin Français du Petit Trianon,122.01263888580502
La Galerie des Carrosses,L'Appartement intérieur du Roi,264.8805798154968
La Galerie des Carrosses,La Galerie des Glaces,432.39717233144336
La Galerie des Carrosses,L'Appartement du Roi,122.01263888580502
La Galerie des Carrosses,Le Grand Appartement du Roi,122.01263888580502
La Galerie des Carrosses,L'Opéra Royal,433.89216010294035
La Galerie des Carrosses,La Chapelle Royale,346.0715530385154
La Galerie des Carrosses,Le Grand Appartement de la Reine,122.01263888580502
La Galerie des Carrosses,La Galerie des Batailles,397.8582400356872
La Galerie des Carrosses,L'Appartement de Madame de Pompadour,122.01263888580502
La Galerie des Carrosses,L'Appartement de la Dauphine,379.7938806777757
La Galerie des Carrosses,Les Appartements des Filles de Louis XV,122.01263888580502
La Galerie des Carrosses,Les Galeries Historiques,122.01263888580502
La Galerie des Carrosses,La Salle du Congrès,374.1796627500498
La Galerie des Carrosses,Les Salles des Croisades,122.01263888580502
La Galerie des Carrosses,Les Cabinets intérieurs de Marie-Antoinette,122.01263888580502
La Galerie des Carrosses,La Salle du Sacre,122.01263888580502
La Galerie des Carrosses,Les Salles de l'Empire,383.6340744515806
La Galerie des Carrosses,"Les Salles d'Afrique, de Crimée et d'Italie",122.01263888580502
La Galerie des Carrosses,La Salle de 1792,122.01263888580502
La Galerie des Carrosses,La Galerie de l'Histoire du Château,122.01263888580502
La Galerie des Carrosses,Les Salles de Louis XIV,122.01263888580502
La Galerie des Carrosses,L'Appartement du Dauphin,379.7938806777757
La Galerie des Carrosses,L'Appartement de Madame du Barry,122.01263888580502
La Galerie des Carrosses,Le Grand Commun,342.05389995134243
La Galerie des Carrosses,L'Attique Chimay,122.01263888580502
La Galerie des Carrosses,L'Orangerie,402.31570011089013
La Galerie des Carrosses,La Galerie des Sculptures et des Moulages,113.61544956761429
La Galerie des Carrosses,Le Grand Canal,1647.2587085826121
La Galerie des Carrosses,Le Rû Gally,122.01263888580502
La Galerie des Carrosses,Le Bassin de Flore (Printemps),808.6264310419019
La Galerie des Carrosses,Le Bassin de Cérès (Été),663.9998841730272
La Galerie des Carrosses,Le Cabinet de Diane (Soir),122.01263888580502
La Galerie des Carrosses,Le Cabinet du Point du Jour,122.01263888580502
La Galerie des Carrosses,Le Bassin du Dragon,500.51217718748984
La Galerie des Carrosses,Le Bassin de Neptune,425.0181114658393
La Galerie des Carrosses,Le Bassin de Latone,577.3826951627482
La Galerie des Carrosses,Le Bassin d'Apollon,965.9636075602446
La Galerie des Carrosses,Le Bassin du Miroir,819.3867466498278
La Galerie des Carrosses,Le Bain des Nymphes,122.01263888580502
La Galerie des Carrosses,Le Bassin de la Pyramide,448.7061396326824
La Galerie des Carrosses,Le Bassin des Enfants Dorés,656.9699035463789
La Galerie des Carrosses,Le Bosquet de la Reine,648.8212867765174
La Galerie des Carrosses,Le Bosquet de la Salle de Bal,611.4943113967178
La Galerie des Carrosses,Le Bosquet de la Girandole,734.4029196560023
La Galerie des Carrosses,Le Bosquet de la Montagne d'Eau,122.01263888580502
La Galerie des Carrosses,Le Bosquet du Dauphin,726.2386283494176
La Galerie des Carrosses,Le Bosquet du Théâtre d'Eau,610.3007951901595
La Galerie des Carrosses,Le Bosquet des Trois Fontaines,510.0187644234131
La Galerie des Carrosses,Le Bosquet de l'Arc de Triomphe,436.48173724094033
La Galerie des Carrosses,Le Bosquet de la Colonnade,858.5168420202801
La Galerie des Carrosses,Le Bosquet du Marronnier,122.01263888580502
La Galerie des Carrosses,Le Bosquet du Dôme,122.01263888580502
La Galerie des Carrosses,Le Bosquet d'Encelade,932.3736334953015
La Galerie des Carrosses,Le Bosquet des Obélisques,122.01263888580502
La Galerie des Carrosses,Le Bosquet des Bains d'Apollon,591.3344775097587
La Galerie des Carrosses,Le Parterre d'Eau,491.86170105578367
La Galerie des Carrosses,Le Parterre Nord,442.6128950126605
La Galerie des Carrosses,Le Parterre du Midi,465.73435905649023
La Galerie des Carrosses,Le Parterre de Latone,122.01263888580502
La Galerie des Carrosses,L'Allée d'Eau des Marmousets,122.01263888580502
La Galerie des Carrosses,L'Allée Royale du Tapis Vert,790.5976451963744
La Galerie des Carrosses,Le Jardin du Roi,1617.0178633082332
La Galerie des Carrosses,La Statue de Louis XIV,114.45113847857807
La Galerie des Carrosses,Visite guidée - Au service de sa majesté,122.01263888580502
